title,price,main_info,location,description
&Attractive Area%  Flat Property/ available for Sale,"₹ 95,00,000",4 Bds - 4 Ba - 1600 ft2,Tamil Nadu,&Attractive Area%  Flat Property/ available for Sale
3BHK BRAND NEW PENTHOUSE WITH PRIVATE TERRACE FOR SALE,"₹ 1,60,00,000",3 Bds - 3 Ba - 2306 ft2,Karnataka,"3BHK BRAND NEW LARGE PENTHOUSE FOR SALE IN BANGALORE, HENNUR ROAD, IN PURVANKARA PALM WAVES PROJECT NEAR MANYATA TECH PARK. WITH PRIVATE TERRACE"
"आपले स्वप्नातील घर 2 बीएचके Rs.55.47 L , रावेत पुणे  64 मेरिडियन","₹ 55,47,187",2 Bds - 2 Ba - 920 ft2,Maharashtra,"आपले स्वप्नातील घर 2 बीएचके अपार्टमेंट, रावेत पुणे फक्त 64 मेरिडियन योजनेमध्ये 55.47 लाख रुपयांमध्ये बुक करा.
64 मेरिडियनमध्ये आपल्याला सर्व सुविधा आणि वैशिष्ट्यांसह गार्डन्स, क्लब हाऊसेस, व्यायामशाळा, मुलांचे खेळण्याचे क्षेत्र आणि सुविधा आढळतील.
६४ मेरिडियन हे मुख्य स्थान आहे जे मुंबई-पुणे महामार्गावर आहे.
अधिक माहिती / साइट भेटीसाठी आमच्याशी संपर्क साधा"
Flat 1 and 2 bhk for sale,"₹ 45,00,000",2 Bds - 2 Ba - 900 ft2,Maharashtra,Flat 1 and 2 bhk for sale price will be negotiable
"Villa for Sale at Andoorkonam,Thiruvananthapuram","₹ 30,00,000",3 Bds - 3 Ba - 900 ft2,Kerala,"3 cents land . 

Around 800 mtrs. from Andoorkonam and 1.5KM from venjaramoodu - Kazhakkoottam bypass"
It is fully furnished two storied building is around 12 bedrooms and o,"₹ 65,00,000",4+ Bds - 4+ Ba - 1200 ft2,West Bengal,It is listed by owner very good position near arrah more
24front 60 depth,"₹ 67,00,000",3 Bds - 2 Ba - 1440 ft2,Uttaranchal,Newly constructed 3 bedroom house. Few meters from kargi chowk . Good ventilation and ample natural light thoroughly the house ..
Ground floor with shop and garage at D. H. Rd Silpara on sale,"₹ 39,50,000",3 Bds - 2 Ba - 1500 ft2,West Bengal,"Only Ground floor of my house with area 2katha 33sq ft(land with structure) is on sale. Having 3rooms,2bathrooms,shop and garage.1 minute walking distance from D.H.Rd. Front road of the house is 20ft wide."
"Luxurious Apartments of 2 BHK and  in , Golf Course Extension","₹ 1,30,12,250",2 Bds - 2 Ba - 894 ft2,Haryana,"Luxurious Apartments of 2 BHK and  in , Golf Course Extension"
"2BHK in one of the ﬁnest locations of Wakad at Pink City Road, Pune","₹ 60,00,000",2 Bds - 2 Ba - 860 ft2,Maharashtra,"IRA Wakad
Located in one of the ﬁnest locations of Wakad at Pink City Road, Pune.Mont Vert in associtation with Sanjay Kalate Group presents 2 BHK thoughtful apartments at IRA WAKAD.Ira, Wakad is smart city initiative.Hinjwadi-shivaji nagar Metro-Commute to the interior parts of the city in a matter of mintues.Upcoming Linear Garden.
As Infrastructural Growth - City's Second Phoenix Market City in Wakadia hardly 5 mintues from IRA

AMENITIES FOR ENRICHED EXPERIENCES
- Kid's Play Area
- Open-Air Gym On Top Terrace
- Community Hall,Landscape Garden
- Pergolas And Seating Area On Top Terrace
- Automatic Elevators
- Fire-Fighting
- PCMC Water Supply
- Wheelchair-Friendly Development
- Rainwater Harvesting
- Covered Parking
- Solar Water Heating System & Many More..

KEY LOCATION:
A location that thinks about you.More Than ever thought about it. Wakad - A location that has made itself the center of the city's the IT corridor and has very quickly become a significant landmark."
Beautiful home for sale,"₹ 28,00,000",2 Bds - 3 Ba - 936 ft2,Punjab,"Come and see the beauty of the home 
Amar Avenue khandwala chownk chheharta amritsar 
2 bhk home with modern elevation 
3 bathrooms furnished with quality accessories 
Duct,lobby Available 
Kitchen 
Parking space available 
Loan available from all leading banks 
For more information call us 

GAURAV Arora"
Best place for secure your money in guaranteed lowest price in kharar,"₹ 22,85,000",3 Bds - 3 Ba - 1210 ft2,Punjab,"Luxury 3 BHK Flats In Small Budget  nearby kharar bus stand 
3 bedroom 
2 washroom
drawing dining 
 modular kitchen 

Punjab govt. approved project 
pardhan mantri awas yozna available 
Loan facility 85%
Booking amount 50000
For more info call on this"
"2 BHK Luxury Apartments for Sale - SBP Gateway of Dreams, Zirakpur","₹ 45,02,046",2 Bds - 2 Ba - 1200 ft2,Punjab,"2 BHK Luxury Apartments for Sale - SBP Gateway of Dreams, Zirakpur"
Flat 1 and 2 bhk for sale,"₹ 45,00,000",2 Bds - 2 Ba - 900 ft2,Maharashtra,Flat 1 and 2 bhk for sale price will be negotiable
2 bhk 1150 sqft River view laxuary flatt at auva  thottumugham,"₹ 37,00,000",2 Bds - 2 Ba - 1150 ft2,Kerala,"This is a meticulously designed 2 bhk resale apartment located in Aluva, Kochi. It is a freehold property. The flat is a spacious property and is ready to move in. Located in an integrated society of Royal Castle Periyar Waves, it has 2 bathroom(s) and 2 balcony(s). It is a 1-5 year old, located on the 3rd floor. The apartment is approximately priced at Rs. 37 Lakhs and its per Sq. Ft. cost is Rs. 3217. 1 covered parking is also available.

All facilities are very near
Price is slightly negotiable
Call me for more details"
"Villa for Sale at Andoorkonam,Thiruvananthapuram","₹ 30,00,000",3 Bds - 3 Ba - 900 ft2,Kerala,"3 cents land . 

Around 800 mtrs. from Andoorkonam and 1.5KM from venjaramoodu - Kazhakkoottam bypass"
2 bhk 800 sqft Ready to occupy house at varapuzha near koduvazhanga,"₹ 24,00,000",2 Bds - 2 Ba - 800 ft2,Kerala,"2 bhk 800 sqft 4 cent (document 3 cent) ready to occupy house for sale at varapuzha near koduvazhanga

2 bhk with bath attached

Home loan available up to 90% 

2 car parking space 

All facilities are very near 

Price is negotiable

Call me for more details"
3 bhk 1300 sqft 3.3 cent new build at paravur town near poossaripady,"₹ 35,00,000",3 Bds - 3 Ba - 1300 ft2,Kerala,"3 bhk 1300 sqft 3.3 cent new build house for sale at paravur town near poossaripady 

3 bhk with bath attached 

Home loan available up to 90%


Tar road front 

Very close to varapuzha town 

All facilities are very near

Call me for more details"
It is fully furnished two storied building is around 12 bedrooms and o,"₹ 65,00,000",4+ Bds - 4+ Ba - 1200 ft2,West Bengal,It is listed by owner very good position near arrah more
100% loanable 3 bhk Mansarovar ext,"₹ 27,51,000",3 Bds - 2 Ba - 1350 ft2,Rajasthan,"Ready to shift 3 bhk at Mansarovar ext
Vande matram road
With 
Gated lane
CCTV cameras
Lift
Modular kitchen
False ceiling
Wardrobes
RO
Chimney
Separate water tank
Also avail subsidy upto Rs 2 .67 lacs"
3 bhk 1300 sqtt new build posh house at edapally varapuzha area,"₹ 38,00,000",3 Bds - 3 Ba - 1300 ft2,Kerala,"3 bhk 1300 sqft  new build posh house for sale at edapally varapuzha area 

3 bhk with bath attached 

Home loan facilitties available 

100 mtr away from bus stop

Neat area 

All facilities are very near

Price is negotiable

Call me for more details"
24front 60 depth,"₹ 67,00,000",3 Bds - 2 Ba - 1440 ft2,Uttaranchal,Newly constructed 3 bedroom house. Few meters from kargi chowk . Good ventilation and ample natural light thoroughly the house ..
Brand New Luxury Apartment .Fully Furnished with Home appliances...,"₹ 20,00,000",1 Bds - 1 Ba - 520 ft2,Kerala,Very calm and quite and Potable  water area. Gated Community with CCTV camera surveillance.Brand New Luxury Apartment .Fully Furnished with Home appliances.Near Guruvayoor and Chavakkad Town
3 bhk independent house for sale,"₹ 19,50,000",3 Bds - 2 Ba - 1200 ft2,Uttaranchal,"We are Shivam developer & we are dealing in all types of property in Haridwar.

Recently we have launched green valley a residential property in Suman nagar Haridwar&currently we have 3 bhk independent house for sale.

-- Property connected to sidcul highway. 
-- School , colleges , hospital are available near to property. 
-- Water park proposed to come.
-- Proposed suman nagar metro station. 
-- 24*7 transportation facility are available.

Note : - Price will be slightly negotiable."
2 bhk 900 sft 4 cent new build house at edapally varapuzha kongorpally,"₹ 2,65,00,000",2 Bds - 2 Ba - 900 ft2,Kerala,"2 bhk 900 sqft 4 cent new build house for sale at edapally varapuzha kongorpally area 

2 bhk with bath attached 

Home loan available up to 90% 

Upstair insert the house

All facilities are very near

Price is negotiable 

Call me for more details"
3 bhk 1200 sqft 4 cent house at aluva paravur road thattampady,"₹ 32,00,000",3 Bds - 3 Ba - 1200 ft2,Kerala,"3 bhk 1200 sqft 4 cent house for sale at aluva paravur road thattampady 

3 bhk with bath attached 

Loan facilities available

All facilities are very near

Price is negotiable


Call me for more details"
3 BHK 1714 SQFT GATED COMMUNITYY LAXUARY FLATT AT KAKKANAD INFOOARK,"₹ 62,00,000",3 Bds - 3 Ba - 1714 ft2,Kerala,"3 BHK new luxury flat in Infopark Kakkanad for Sale

Located adjacent to smart city and a stones throw away from Infopark and Metro station in Kakkanad.  The layout and amenities are meant for families that lay emphasis on quality lifestyles fitted with all modern facilities. 

Housed in a 20 floor independent luxury tower with its own landscaped gardens, swimming pool, health club, indoor work and play areas, abundant indoor games, car parking and three lifts access to each floor. 
Ready to stay. Direct price from owner.

Location : Kakkanad Cochin 
Type : Luxury  Apartment 
Area. : 1714 square feet
Floor no : 10
Size  : 3 acres
Bedrooms : 3
Bathrooms: 3
Balconies: 3
Status :  New launch, Ready to Move
Total floors : 20
Facing : East
Rate: 62, 00000/-

1.2 kms Info Park (Proposed Smart City)
3.5 kms Seaport-Airport Road 
22 kms Cochin International Airport
10 kms M. G. Road
6 kms Cochin By Pass Road
7 kms Palarivattom Junction
4 kms Bharatiya Vidya Bhavan
500 mtrs Mar Thoma Public School
3 kms Rajagiri Engineering College
6 kms Cochin University
7 kms Medical College Kalamassery
3.5 kms Model Engineering College
12 kms Amritha Medical College
3.5 kms Veegaland
12 kms from Aluva Railway Station
8 kms from Edappally
5 kms from Sunrise Hospital

Facilities :
24 hours CCTV surveillance system
24 hours security guard
Generator backup
Centralised gas supply
Centralised WiFi 
Centralised Cable TV
Landscaped garden
Swimming pool
Health club
Indoor work and play areas
Car parking 
Three lifts to access to each floor.

Call me for more details"
Ground floor with shop and garage at D. H. Rd Silpara on sale,"₹ 39,50,000",3 Bds - 2 Ba - 1500 ft2,West Bengal,"Only Ground floor of my house with area 2katha 33sq ft(land with structure) is on sale. Having 3rooms,2bathrooms,shop and garage.1 minute walking distance from D.H.Rd. Front road of the house is 20ft wide."
Flat 1 and 2 bhk for sale,"₹ 45,00,000",2 Bds - 2 Ba - 900 ft2,Maharashtra,Flat 1 and 2 bhk for sale price will be negotiable
"Villa for Sale at Andoorkonam,Thiruvananthapuram","₹ 30,00,000",3 Bds - 3 Ba - 900 ft2,Kerala,"3 cents land . 

Around 800 mtrs. from Andoorkonam and 1.5KM from venjaramoodu - Kazhakkoottam bypass"
2 Bhk independent flats in very reasonable price kharar mohali,"₹ 16,90,000",2 Bds - 2 Ba - 875 ft2,Punjab,"Here are some features about * MC approved. * Iconic design with excellent amenities. * Lush green environment. * Fully secured and walled complex. * Shopping area and broad roads. * Approaching through 3 linked roads from Kharar, Landran and Mohali. * It is developed on 33 acres (app.). * G+2 flooring. * Well secured campus with all basics amenities. * Society has its own water supply for 24 hrs. * Enough street lights. * Shopping area. * 35 ft. wide roads. * Freehold Land. * Plot Boundary Wall. * Society Boundary Wall."
"2BHK in one of the ﬁnest locations of Wakad at Pink City Road, Pune","₹ 60,00,000",2 Bds - 2 Ba - 860 ft2,Maharashtra,"IRA Wakad
Located in one of the ﬁnest locations of Wakad at Pink City Road, Pune.Mont Vert in associtation with Sanjay Kalate Group presents 2 BHK thoughtful apartments at IRA WAKAD.Ira, Wakad is smart city initiative.Hinjwadi-shivaji nagar Metro-Commute to the interior parts of the city in a matter of mintues.Upcoming Linear Garden.
As Infrastructural Growth - City's Second Phoenix Market City in Wakadia hardly 5 mintues from IRA

AMENITIES FOR ENRICHED EXPERIENCES
- Kid's Play Area
- Open-Air Gym On Top Terrace
- Community Hall,Landscape Garden
- Pergolas And Seating Area On Top Terrace
- Automatic Elevators
- Fire-Fighting
- PCMC Water Supply
- Wheelchair-Friendly Development
- Rainwater Harvesting
- Covered Parking
- Solar Water Heating System & Many More..

KEY LOCATION:
A location that thinks about you.More Than ever thought about it. Wakad - A location that has made itself the center of the city's the IT corridor and has very quickly become a significant landmark."
It is fully furnished two storied building is around 12 bedrooms and o,"₹ 65,00,000",4+ Bds - 4+ Ba - 1200 ft2,West Bengal,It is listed by owner very good position near arrah more
24front 60 depth,"₹ 67,00,000",3 Bds - 2 Ba - 1440 ft2,Uttaranchal,Newly constructed 3 bedroom house. Few meters from kargi chowk . Good ventilation and ample natural light thoroughly the house ..
"70 sq yds 2BHK flat at 37 lakh in dwarka mor , Delhi","₹ 37,00,000",2 Bds - 2 Ba - 750 ft2,Delhi,"Project name - 

-GURU JI HOMES 

DESCRIPTION:- 

-70 Sq Yds 2BHK flat at 37 lakh in Dwarka Mor  , Delhi. 


1. There are 2 Bedroom with 1 balcony .
2. Drawing hall with all false ceiling and texture paints.
3. 2 Bathroom with tiles work up to roof height. 
4. Wardrobe in each bedroom.
5. Modern and Modular kitchen with chimney and attachment.
6.Wallpaper + texture paints.
7. Wall to wall P.O.P and tiles work on elevation.
8.Modular switch switch with branded electrical fittings.
9.Branded hardware and Sainitary fittings.
10. Lift facility.
11. 1 car parking.
12. Loan facility.
13. Intercom and automatic locking facility.
* Bank loan up to 90%
*PMAY Subsidy up to 2.5 lakh
*Just 10 minutes from Dwarka mor 


**Construction done in the supervision on of the team of attachment.**"
4BHK DOUBLE STORY BEAUTIFULL VILLA SEC 115,"₹ 39,90,000",4 Bds - 4 Ba - 1450 ft2,Punjab,"4 bedrooms
4 washrooms
2 modular kitchen
2 drawing dinning room
cupboards in rooms
Branded bath fittings 
gated society 
gated society 
Guard available with CCTV Camera available 
Proper sewerage connection
Water supply connection..
load available with subsidy
near by bus stand, collages, hospital,schools and main market
deal direct with owner 

no other hidden charges"
Best place for secure your money in guaranteed lowest price in kharar,"₹ 22,85,000",3 Bds - 3 Ba - 1210 ft2,Punjab,"Luxury 3 BHK Flats In Small Budget  nearby kharar bus stand 
3 bedroom 
2 washroom
drawing dining 
 modular kitchen 

Punjab govt. approved project 
pardhan mantri awas yozna available 
Loan facility 85%
Booking amount 50000
For more info call on this"
Ground floor with shop and garage at D. H. Rd Silpara on sale,"₹ 39,50,000",3 Bds - 2 Ba - 1500 ft2,West Bengal,"Only Ground floor of my house with area 2katha 33sq ft(land with structure) is on sale. Having 3rooms,2bathrooms,shop and garage.1 minute walking distance from D.H.Rd. Front road of the house is 20ft wide."
"2BHK in one of the ﬁnest locations of Wakad at Pink City Road, Pune","₹ 60,00,000",2 Bds - 2 Ba - 860 ft2,Maharashtra,"IRA Wakad
Located in one of the ﬁnest locations of Wakad at Pink City Road, Pune.Mont Vert in associtation with Sanjay Kalate Group presents 2 BHK thoughtful apartments at IRA WAKAD.Ira, Wakad is smart city initiative.Hinjwadi-shivaji nagar Metro-Commute to the interior parts of the city in a matter of mintues.Upcoming Linear Garden.
As Infrastructural Growth - City's Second Phoenix Market City in Wakadia hardly 5 mintues from IRA

AMENITIES FOR ENRICHED EXPERIENCES
- Kid's Play Area
- Open-Air Gym On Top Terrace
- Community Hall,Landscape Garden
- Pergolas And Seating Area On Top Terrace
- Automatic Elevators
- Fire-Fighting
- PCMC Water Supply
- Wheelchair-Friendly Development
- Rainwater Harvesting
- Covered Parking
- Solar Water Heating System & Many More..

KEY LOCATION:
A location that thinks about you.More Than ever thought about it. Wakad - A location that has made itself the center of the city's the IT corridor and has very quickly become a significant landmark."
3bhk row house in lohegaon pawarwasti pune,"₹ 53,00,000",3 Bds - 3 Ba - 1400 ft2,Maharashtra,3bhk row house are available in pawarwasti lohegaon Pune
3 bhk apartments in very well design & low cost in kharar mohali,"₹ 22,75,000",3 Bds - 3 Ba - 1206 ft2,Punjab,"Here are some features about- * MC approved. * Iconic design with excellent amenities. * Lush green environment. * Fully secured and walled complex. * Shopping area and broad roads. * Approaching through 3 linked roads from Kharar, Landran and Mohali. * It is developed on 33 acres (app.). * G+2 flooring. * Well secured campus with all basics amenities. * Society has its own water supply for 24 hrs. * Enough street lights. * Shopping area. * 35 ft. wide roads. * Freehold Land. * Plot Boundary Wall. * Society Boundary Wall."
2 bhk 1150 sqft River view laxuary flatt at auva  thottumugham,"₹ 37,00,000",2 Bds - 2 Ba - 1150 ft2,Kerala,"This is a meticulously designed 2 bhk resale apartment located in Aluva, Kochi. It is a freehold property. The flat is a spacious property and is ready to move in. Located in an integrated society of Royal Castle Periyar Waves, it has 2 bathroom(s) and 2 balcony(s). It is a 1-5 year old, located on the 3rd floor. The apartment is approximately priced at Rs. 37 Lakhs and its per Sq. Ft. cost is Rs. 3217. 1 covered parking is also available.

All facilities are very near
Price is slightly negotiable
Call me for more details"
Best place for secure your money in guaranteed lowest price in kharar,"₹ 22,85,000",3 Bds - 3 Ba - 1210 ft2,Punjab,"Luxury 3 BHK Flats In Small Budget  nearby kharar bus stand 
3 bedroom 
2 washroom
drawing dining 
 modular kitchen 

Punjab govt. approved project 
pardhan mantri awas yozna available 
Loan facility 85%
Booking amount 50000
For more info call on this"
2 bhk 1150 sqft River view laxuary flatt at auva  thottumugham,"₹ 37,00,000",2 Bds - 2 Ba - 1150 ft2,Kerala,"This is a meticulously designed 2 bhk resale apartment located in Aluva, Kochi. It is a freehold property. The flat is a spacious property and is ready to move in. Located in an integrated society of Royal Castle Periyar Waves, it has 2 bathroom(s) and 2 balcony(s). It is a 1-5 year old, located on the 3rd floor. The apartment is approximately priced at Rs. 37 Lakhs and its per Sq. Ft. cost is Rs. 3217. 1 covered parking is also available.

All facilities are very near
Price is slightly negotiable
Call me for more details"
